CONTEÚDO	JÁ ENSINADO COM APRENDIZAGEM ATIVA?	PODE SER ENSINADO COM GALILEU?	DESCRIÇÃO
"Linguagem C  Estrutura de um programa em C. Variáveis e tipos básicos. Constantes  Operadores, Funçoes e Expressões. Atribuição. Entrada e Saída de dados.  Operador Cast. "	No	Yes	"Linguagem C  Estrutura de um programa em C. Variáveis e tipos básicos. Constantes  Operadores, Funçoes e Expressões. Atribuição. Entrada e Saída de dados.  Operador Cast. "
4. Estruturas de Repetição  Comando Do-While. Comando While. Comando For.	No	Yes	4. Estruturas de Repetição  Comando Do-While. Comando While. Comando For.
Registros  Composição de structs. Arrays e structs. Structs em arquivos.	No	Yes	Registros  Composição de structs. Arrays e structs. Structs em arquivos.
 Vetores  Tipo Array. Pesquisa em Vetores. Ordenação de Vetores. Strings.  Arrays multidimensional.	No	Yes	 Vetores  Tipo Array. Pesquisa em Vetores. Ordenação de Vetores. Strings.  Arrays multidimensional.
Arquivos  Arquivos text. Manipulação de arquivos. 	No	Yes	Arquivos  Arquivos text. Manipulação de arquivos. 
5. Ponteiros e Funções  Ponteiros. Funções.	No	Yes	5. Ponteiros e Funções  Ponteiros. Funções.
Estruturas de Repetição  Comando Do-While. Comando While. Comando For.	No	Yes	Estruturas de Repetição  Comando Do-While. Comando While. Comando For.
 Estruturas Condicionais  Comando IF. Comando Switch. 	No	Yes	 Estruturas Condicionais  Comando IF. Comando Switch. 
Linguagem C	No	Yes	"Estrutura de um programa em C. Variáveis e tipos básicos. Constantes  Operadores, Funçoes e Expressões. Atribuição. Entrada e Saída de dados.  Operador Cast. "
Introdução  Hardware. Software. 	No	Yes	Introdução  Hardware. Software. 
Iteração e recursão	No	Yes	Iteração e recursão
Entrada e saída de dados	No	Yes	Entrada e saída de dados
 Estruturas de controle: condicional e repetição	No	Yes	 Estruturas de controle: condicional e repetição
Noções de programação estruturada	No	Yes	Noções de programação estruturada
Testes e depuração	No	Yes	Testes e depuração
Especificação de variáveis e funções	No	Yes	Especificação de variáveis e funções
Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível	No	Yes	Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível
Princípios fundamentais de construção de programas	No	Yes	Princípios fundamentais de construção de programas
