"CONTEUDO_DISCIPLINA Name","CONTEUDO_FK","DISCIPLINA FK"
"ntroduction to Computer Programming Conteudo","Princípios fundamentais de construção de programas","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Testes e depuração","",
"ntroduction to Computer Programming Conteudo","Iteração e recursão","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Arquivos  Arquivos text. Manipulação de arquivos. ","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","7. Vetores  Tipo Array. Pesquisa em Vetores. Ordenação de Vetores. Strings.  Arrays multidimensional.","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Estruturas de Repetição  Comando Do-While. Comando While. Comando For.","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","8. Registros  Composição de structs. Arrays e structs. Structs em arquivos.","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Testes e depuração","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Especificação de variáveis e funções","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Princípios fundamentais de construção de programas","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo","Python","Introduction to Computer Programming",
"ntroduction to Computer Programming Conteudo ","Princípios fundamentais de construção de programas","Introduction to Computer Programming",
"Introduction to Matlab and Mathematica",". Matlab: basic syntax and development ","Introduction to Matlab and Mathematica",
"Introduction to Matlab and Mathematica","debugging; help interface; basic linear algebra;","Introduction to Matlab and Mathematica",
"Introduction to Matlab and Mathematica","ectorization; scripts, and functions; file i/o; arrays, structures, and strings","Introduction to Matlab and Mathematica",
"Introduction to Matlab and Mathematica","n, solving nonlinear equations, fast Fourier transform, and ODE solvers","Introduction to Matlab and Mathematica",
"Computação para Engenharia 7","6. Arquivos  Arquivos text. Manipulação de arquivos. ","Computação para Engenharia - UnB",
"Computação para Engenharia 7","5. Ponteiros e Funções  Ponteiros. Funções.","Computação para Engenharia - UnB",
"Computação para Engenharia 6","7. Vetores  Tipo Array. Pesquisa em Vetores. Ordenação de Vetores. Strings.  Arrays multidimensional.","Computação para Engenharia - UnB",
"Computação para Engenharia 5","3. Estruturas Condicionais  Comando IF. Comando Switch. ","Computação para Engenharia - UnB",
"Computação para Engenharia 4","4. Estruturas de Repetição  Comando Do-While. Comando While. Comando For.","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Computação para Engenharia 2","Linguagem C  Estrutura de um programa em C. Variáveis e tipos básicos. Constantes  Operadores, Funçoes e Expressões. Atribuição. Entrada e Saída de dados.  Operador Cast. ","Computação para Engenharia - UnB",
"Computação para Engenharia 1","Linguagem C  Estrutura de um programa em C. Variáveis e tipos básicos. Constantes  Operadores, Funçoes e Expressões. Atribuição. Entrada e Saída de dados.  Operador Cast. ","Computação para Engenharia - UnB",
"registros","Registros  Composição de structs. Arrays e structs. Structs em arquivos.","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Vetores","7. Vetores  Tipo Array. Pesquisa em Vetores. Ordenação de Vetores. Strings.  Arrays multidimensional.","Computação para Engenharia - UnB",
"Arquivos","Arquivos  Arquivos text. Manipulação de arquivos. ","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Ponteiros e Funções","5. Ponteiros e Funções  Ponteiros. Funções.","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Estruturas de repetição","4. Estruturas de Repetição  Comando Do-While. Comando While. Comando For.","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"estruturas condicionais ","3. Estruturas Condicionais  Comando IF. Comando Switch. ","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Linguagem C","Linguagem C","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Algoritmos e Programação de Computadores 8","Testes e depuração","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 7","Iteração e recursão","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 6","Entrada e saída de dados","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 5"," Estruturas de controle: condicional e repetição","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 5","Noções de programação estruturada","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 4","Testes e depuração","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 3","Especificação de variáveis e funções","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 2","Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível","Algoritmos e Programação de Computadores - UnB",
"Algoritmos e Programação de Computadores 1","Princípios fundamentais de construção de programas","Algoritmos e Programação de Computadores - UnB",
