"PALAVRA_CHAVE Name","TEXTO"
" Python "," Python ",
"Equações Diferenciais","Equações Diferenciais",
"Transformada Rápida de Fourier","Transformada Rápida de Fourier",
"Não linear ","Não linear",
"Equação","Equação",
"Algebra Linear","Algebra Linear",
"Help Interface","Help Interface",
"Debug","Debug",
"Ambiente de desenvolvimento","Ambiente de desenvolvimento",
"Sintaxe básica","Sintaxe Básica",
"Matlab","Matlab",
" Algoritmos e lógica de programação"," Algoritmos e lógica de programação",
"Arquitetura e organização de computadores ","Arquitetura e organização de computadores ",
"Struct","Struct",
"Array multidimensional","Array multidimensional",
"String","String",
"Array","Array",
"while","while",
"do","do",
"for","for",
"Switch","Switch",
"If","If",
"Software","Software",
"Hardware","Hardware",
"Registros","Registros",
"Vetores","Vetores",
"Arquivos","Arquivos",
"Ponteiros","Ponteiros",
"Estruturas de Repetição","Estruturas de Repetição",
" Estruturas Condicionais"," Estruturas Condicionais",
"Linguagem C","Linguagem C",
"Iteração e recursão","Iteração e recursão",
"Entrada e saída de dados","Entrada e saída de dados",
"repetição","repetição",
"condicional","condicional",
"Operadores e expressões","Operadores e expressões",
"Identificadores e tipos","Identificadores e tipos",
"programação estruturada","programação estruturada",
"depuração","depuração",
"Testes","Testes",
"funções","funções",
"variáveis","variáveis",
"linguagens de alto nível","linguagens de alto nível",
"pseudocódigo","pseudocódigo",
"algoritmos","algoritmos",
"Programa","Programa",
"construção","construção",
"Princípios","Princípios",
