"PALAVRA_CHAVE_CONTEUDO Name","PALAVRA_CHAVE FK","CONTEUDO_FK"
" Applied + Computational Mathematics Course","Sintaxe básica",". Matlab: basic syntax and development ",
" Applied + Computational Mathematics Course","Algebra Linear","debugging; help interface; basic linear algebra;",
" Applied + Computational Mathematics Course","Help Interface","debugging; help interface; basic linear algebra;",
" Applied + Computational Mathematics Course","Debug","debugging; help interface; basic linear algebra;",
" Applied + Computational Mathematics Course","Array","ectorization; scripts, and functions; file i/o; arrays, structures, and strings",
" Applied + Computational Mathematics Course","String","ectorization; scripts, and functions; file i/o; arrays, structures, and strings",
" Applied + Computational Mathematics Course","Matlab",". Matlab: basic syntax and development ",
" Applied + Computational Mathematics Course","Entrada e saída de dados","ectorization; scripts, and functions; file i/o; arrays, structures, and strings",
" Applied + Computational Mathematics Course 4","Algebra Linear","n, solving nonlinear equations, fast Fourier transform, and ODE solvers",
" Applied + Computational Mathematics Course 3","Não linear ","n, solving nonlinear equations, fast Fourier transform, and ODE solvers",
" Applied + Computational Mathematics Course 2","Transformada Rápida de Fourier","n, solving nonlinear equations, fast Fourier transform, and ODE solvers",
" Applied + Computational Mathematics Course 1","Equações Diferenciais","n, solving nonlinear equations, fast Fourier transform, and ODE solvers",
"estruturas de controle condicional e repeticao","condicional"," Estruturas de controle: condicional e repetição",
"Estruturas de Controle Condicional e Repeticao","repetição"," Estruturas de controle: condicional e repetição",
"Estruturas de controle condicional e repeticao","condicional"," Estruturas de controle: condicional e repetição",
"Principios fundamentais 2","Programa","Princípios fundamentais de construção de programas",
"Principios fundamentais 1","construção","Princípios fundamentais de construção de programas",
"Construção de Algoritmos 3","linguagens de alto nível","Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível",
"Construção de Algoritmos 2","pseudocódigo","Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível",
"Construção de Algoritmos 1","construção","Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível",
"Variáveis e funções ","variáveis","Especificação de variáveis e funções",
